Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,hour,minute,Time_period,Is_night,Is_weekend,Accident_severity
Sunday,Under 18,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Self-employed,Normal,Not a Pedestrian,No distancing,20,27,Night,1,1,Slight Injury
Sunday,Under 18,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,No defect, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Self-employed,Normal,Not a Pedestrian,Other,20,27,Night,1,1,Slight Injury
Sunday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Employee,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,20,27,Night,1,1,Slight Injury
Sunday,,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,Driver,Normal,Not a Pedestrian,No distancing,20,27,Night,1,1,Slight Injury
Thursday,31-50,Male,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Driver,Normal,Not a Pedestrian,Driving carelessly,13,25,Afternoon,0,0,Slight Injury
Thursday,Over 51,Male,Junior high school,Employee,5-10yr,Motorcycle,Owner,,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,No distancing,22,20,Night,1,0,Slight Injury
Friday,,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,16,35,Evening,0,0,Slight Injury
Friday,18-30,Male,Junior high school,Employee,1-2yr,Ridden horse,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Driver,Normal,Not a Pedestrian,Changing lane to the right,16,35,Evening,0,0,Slight Injury
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,8,22,Morning,0,1,Slight Injury
Saturday,18-30,Male,High school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,8,22,Morning,0,1,Slight Injury
Tuesday,Over 51,Male,High school,Owner,Above 10yr,Pick up upto 10Q,Owner,,No defect,Residential areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,16,0,Evening,0,0,Slight Injury
Tuesday,Under 18,Male,Elementary school,Employee,2-5yr,Public (> 45 seats),Governmental,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Turnover,16,0,Evening,0,0,Slight Injury
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Governmental,Below 1yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Other,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving to the left,2,13,Night,1,1,Slight Injury
Saturday,31-50,Male,High school,Employee,2-5yr,Automobile,Owner,,,Other,Two-way (divided with broken lines road marking),,Other,Asphalt roads,Dry,Darkness - lights lit,Other,Vehicle with vehicle collision,Reversing,Self-employed,Normal,Not a Pedestrian,Driving carelessly,2,13,Night,1,1,Slight Injury
Sunday,18-30,Male,Junior high school,Other,No Licence,Public (12 seats),Owner,,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,Moving Backward,Employee,Normal,Not a Pedestrian,Driving to the left,20,10,Night,1,1,Slight Injury
Sunday,Under 18,Male,Junior high school,Employee,1-2yr,Automobile,Owner,,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,Overtaking,,,Not a Pedestrian,Driving carelessly,20,10,Night,1,1,Slight Injury
Thursday,,Female,Junior high school,Owner,5-10yr,Automobile,Owner,2-5yrs,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,23,53,Night,1,0,Slight Injury
Thursday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,23,53,Night,1,0,Slight Injury
Wednesday,,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,11,30,Afternoon,0,0,Slight Injury
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driver,Normal,Not a Pedestrian,Moving Backward,11,30,Afternoon,0,0,Slight Injury
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Cloudy,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,9,15,Morning,0,0,Slight Injury
Tuesday,Over 51,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Above 10yr,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,9,15,Morning,0,0,Slight Injury
Tuesday,18-30,Male,High school,Employee,1-2yr,Taxi,Owner,5-10yrs,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,8,38,Morning,0,0,Slight Injury
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,13,0,Afternoon,0,0,Slight Injury
Thursday,Over 51,Male,Elementary school,Employee,Above 10yr,Public (12 seats),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Other,Dry,Daylight,Normal,Collision with pedestrians,Reversing,,,Not a Pedestrian,Driving carelessly,13,0,Afternoon,0,0,Slight Injury
Thursday,,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,8,0,Morning,0,0,Slight Injury
Thursday,18-30,Male,Elementary school,Employee,Above 10yr,Stationwagen,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,8,0,Morning,0,0,Slight Injury
Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Driver,Normal,Not a Pedestrian,Driving carelessly,13,13,Afternoon,0,0,Slight Injury
Wednesday,,Female,Junior high school,Employee,1-2yr,Lorry (41?100Q),Organization,Above 10yr,No defect, Outside rural areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Driver,Normal,Not a Pedestrian,Overtaking,13,13,Afternoon,0,0,Slight Injury
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Other,Normal,Not a Pedestrian,Changing lane to the right,17,51,Evening,0,0,Slight Injury
Tuesday,31-50,Male,High school,Owner,2-5yr,Public (12 seats),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,No distancing,17,51,Evening,0,0,Slight Injury
Monday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Above 10yr,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Other,15,50,Afternoon,0,0,Slight Injury
Monday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,15,50,Afternoon,0,0,Slight Injury
Monday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),,2-5yrs,, Hospital areas,One way,,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Crossing from driver's nearside,Changing lane to the right,15,50,Afternoon,0,0,Slight Injury
Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,,, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Overtaking,15,50,Afternoon,0,0,Slight Injury
Tuesday,,Male,High school,Employee,Above 10yr,Motorcycle,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Other,15,45,Afternoon,0,0,Slight Injury
Tuesday,18-30,Male,Elementary school,Employee,5-10yr,,Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving to the left,15,45,Afternoon,0,0,Slight Injury
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Overtaking,15,45,Afternoon,0,0,Slight Injury
Tuesday,18-30,Male,Writing & reading,Employee,2-5yr,Automobile,Owner,,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,Getting off,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,15,45,Afternoon,0,0,Slight Injury
Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,,,Residential areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Getting off,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,15,30,Afternoon,0,0,Slight Injury
Monday,Over 51,Male,High school,Employee,2-5yr,Public (> 45 seats),Owner,,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Getting off,Driver,Normal,Not a Pedestrian,Other,15,30,Afternoon,0,0,Slight Injury
Friday,31-50,Male,Junior high school,Employee,1-2yr,,Governmental,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,13,37,Afternoon,0,0,Slight Injury
Friday,31-50,Male,High school,Employee,5-10yr,Automobile,Governmental,,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,,Vehicle with vehicle collision,Going straight,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,13,37,Afternoon,0,0,Slight Injury
Monday,Over 51,Male,Elementary school,Employee,2-5yr,Automobile,Owner,,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,5,42,Night,1,0,Slight Injury
Monday,Under 18,Male,Junior high school,Employee,1-2yr,Other,Owner,,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Waiting to go,Driver,Normal,Not a Pedestrian,Changing lane to the right,5,42,Night,1,0,Slight Injury
Tuesday,,Male,Elementary school,Employee,1-2yr,Stationwagen,Governmental,,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,8,30,Morning,0,0,Slight Injury
Tuesday,31-50,Male,High school,Employee,No Licence,Lorry (41?100Q),Owner,,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving to the left,8,30,Morning,0,0,Slight Injury
Saturday,31-50,Male,Junior high school,Owner,5-10yr,Taxi,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,21,8,Night,1,1,Slight Injury
Saturday,,Female,Junior high school,Employee,1-2yr,Other,Owner,,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Other,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Reversing,Driver,Normal,Not a Pedestrian,Moving Backward,21,8,Night,1,1,Slight Injury
Monday,31-50,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,,,Not a Pedestrian,Driving at high speed,15,48,Afternoon,0,0,Slight Injury
Monday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,15,48,Afternoon,0,0,Slight Injury
Friday,Under 18,Male,,,,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Other,Driver,Normal,Not a Pedestrian,No distancing,19,27,Evening,0,0,Slight Injury
Saturday,,Female,,,,Public (13?45 seats),Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Entering a junction,,,Not a Pedestrian,Other,14,40,Afternoon,0,1,Serious Injury
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Turnover,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,14,40,Afternoon,0,1,Serious Injury
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,6,45,Morning,0,0,Slight Injury
Thursday,31-50,Male,Junior high school,Owner,Above 10yr,Lorry (11?40Q),Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Driver,Normal,Not a Pedestrian,Other,6,45,Morning,0,0,Slight Injury
Friday,18-30,Male,,,,Motorcycle,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,Going straight,Self-employed,Normal,Not a Pedestrian,No distancing,19,30,Evening,0,0,Slight Injury
Monday,Over 51,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,18,30,Evening,0,0,Slight Injury
Monday,18-30,Male,,,,Stationwagen,Owner,,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,No distancing,18,30,Evening,0,0,Slight Injury
Tuesday,Under 18,Male,Junior high school,Owner,5-10yr,Automobile,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,16,24,Evening,0,0,Slight Injury
Tuesday,31-50,Male,Junior high school,Owner,Above 10yr,Other,Owner,Above 10yr,, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,16,24,Evening,0,0,Slight Injury
Tuesday,31-50,Male,High school,Owner,Above 10yr,Other,Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Windy,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Moving Backward,3,29,Night,1,0,Slight Injury
Tuesday,31-50,Male,,,,Taxi,Organization,,,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Windy,Vehicle with vehicle collision,Getting off,Driver,Normal,Not a Pedestrian,No priority to pedestrian,3,29,Night,1,0,Slight Injury
Tuesday,,Male,Elementary school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Windy,Vehicle with vehicle collision,Getting off,Driver,Normal,Not a Pedestrian,Changing lane to the left,3,29,Night,1,0,Slight Injury
Friday,18-30,Male,Elementary school,Owner,Above 10yr,Long lorry,Owner,Above 10yr,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Getting off,Driver,Normal,Not a Pedestrian,No distancing,17,50,Evening,0,0,Slight Injury
Friday,31-50,Male,Junior high school,Owner,Below 1yr,Long lorry,Owner,5-10yrs,, Church areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,Other,17,50,Evening,0,0,Slight Injury
Wednesday,18-30,Male,Junior high school,Owner,2-5yr,Lorry (41?100Q),Owner,5-10yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,No distancing,6,25,Morning,0,0,Slight Injury
Wednesday,,Male,Junior high school,Owner,2-5yr,Lorry (41?100Q),Owner,,No defect,,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,6,25,Morning,0,0,Slight Injury
Friday,18-30,Male,High school,Owner,5-10yr,Lorry (11?40Q),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,Waiting to go,Employee,Normal,Not a Pedestrian,Moving Backward,8,23,Morning,0,0,Serious Injury
Friday,31-50,Male,Junior high school,Owner,,Automobile,Owner,,,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,No priority to pedestrian,8,23,Morning,0,0,Serious Injury
Sunday,31-50,Male,,Owner,Below 1yr,Taxi,Owner,,No defect, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Other,Driver,Normal,Not a Pedestrian,No distancing,15,0,Afternoon,0,1,Slight Injury
Sunday,31-50,Male,Elementary school,Owner,Above 10yr,Other,Governmental,,No defect,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,No priority to pedestrian,15,0,Afternoon,0,1,Slight Injury
Sunday,18-30,Male,Elementary school,Owner,Below 1yr,Automobile,Owner,,No defect, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,15,0,Afternoon,0,1,Slight Injury
Sunday,Under 18,Male,Junior high school,Owner,5-10yr,Automobile,Owner,,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,20,17,Night,1,1,Slight Injury
Sunday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Self-employed,Normal,Not a Pedestrian,Driving carelessly,20,17,Night,1,1,Slight Injury
Monday,18-30,Male,,Owner,,Automobile,Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Overtaking,Driver,Normal,Not a Pedestrian,Changing lane to the left,20,30,Night,1,0,Slight Injury
Monday,31-50,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,No priority to vehicle,20,30,Night,1,0,Slight Injury
Monday,31-50,Male,High school,Owner,5-10yr,Lorry (11?40Q),Owner,Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,15,31,Afternoon,0,0,Slight Injury
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Changing lane to the right,18,0,Evening,0,1,Slight Injury
Saturday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driver,Normal,Not a Pedestrian,No distancing,18,0,Evening,0,1,Slight Injury
Tuesday,Under 18,Female,Junior high school,Employee,5-10yr,Stationwagen,Owner,Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No distancing,18,0,Evening,0,0,Serious Injury
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Other,Owner,Above 10yr,No defect,Other,One way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Changing lane to the left,17,20,Evening,0,0,Slight Injury
Thursday,,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Getting off,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,17,20,Evening,0,0,Slight Injury
Friday,,Male,Junior high school,Employee,No Licence,Pick up upto 10Q,Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,12,20,Afternoon,0,0,Slight Injury
Friday,Under 18,Male,Above high school,Employee,Below 1yr,Motorcycle,Owner,,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with pedestrians,Getting off,,,Not a Pedestrian,Changing lane to the left,12,20,Afternoon,0,0,Slight Injury
